Designator,Mid X,Mid Y,Rotation,Layer
C10,122.4,-112.53,270.0,bottom
C11,118.35,-119.91,90.0,bottom
C2,112.27125,-118.34625,270.0,bottom
C4,124.97,-134.51,180.0,bottom
C5,112.27125,-120.24625,90.0,bottom
C6,119.88,-135.27,180.0,top
C7,112.295,-116.46,90.0,bottom
C8,117.555,-116.46,90.0,bottom
C9,126.44,-112.76,90.0,bottom
D1,119.55,-119.29,90.0,top
D2,124.41,-113.03,270.0,bottom
D3,125.45,-122.75,90.0,top
FL1,120.15,-121.7,0.0,bottom
J1,113.394701,-119.549999,270.0,top
J10,114.98,-125.95,90.0,top
J2,134.05,-136.325,270.0,top
J3,123.824999,-113.7644,180.0,top
J4,134.05,-130.3,270.0,top
J5,134.05,-124.25,270.0,top
J6,108.35,-137.0,0.0,top
J7,130.71,-124.57,90.0,bottom
J8,134.05,-118.2,270.0,top
J9,108.35,-129.0,0.0,top
MK1,118.14,-133.19,270.0,top
Q2,128.79,-122.7,180.0,top
R1,115.95,-135.81,0.0,top
R13,126.43,-114.65,90.0,bottom
R2,117.89,-135.81,180.0,top
R3,127.81,-120.4,180.0,top
R4,116.95375,-121.58375,180.0,bottom
R5,118.84,-118.47,0.0,bottom
R6,130.46,-115.89,90.0,top
R7,125.5,-127.1,180.0,bottom
R8,125.5,-128.2,0.0,bottom
R9,120.1,-138.2,270.0,bottom
SBR1,110.80375,-119.27375,270.0,bottom
SW1,113.8,-112.0,180.0,top
U1,116.94,-137.88,0.0,top
U2,115.71625,-119.38375,180.0,bottom
U3,126.13,-132.255,0.0,top
U4,114.925,-115.87,180.0,bottom
