Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11",0402,2,1n,C1523
"C2, C5",0402,2,4u7, C23687
"C4, C6, C7, C8",0402,4,100n,C1525
C9,0402,1,4n7,C1538
D1,0805,1,LED_RED,C5156920
D2,ESD_PROT_SOT143B,1,"PRTR5V0U2AX,215",C455074
D3,0805,1,LED_BLUE,C6067133
FL1,0603,1,BLM18EG101TN1D,C76893
J1,CONN_S2B-PH-SM4-TB_JST,1,1769,C295747
J10,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J4, J5, J8",3_holes_castellated,4,Conn_01x03_Pin,
J3,CONN16X1_GT-USB-7025_GSW,1,GT-USB-7025,C963213
"J6, J9",castellated_hole_4,2,Conn_01x04_Pin,
J7,5_pads_2.54_pitch,1,Conn_01x06_Pin,
MK1,MIC_T3902,1,T3902, C3171752
Q2,SOT95P240X111-3N,1,2N7002, C8545
"R1, R2",0402,2,4.7K,C25900
R13,0402,1,5.1k,C25905
R18,0402,1,5.1k,
R3,0402,1,10 ohm,C25077
R4,0402,1,13K,C11788
R5,0402,1,600 ohm,C25130
R6,0402,1,1M, C26083
R7,0402,1,270k,C25550
R8,0402,1,100k,C25530
R9,0402,1,10k,C25531
SBR1,Shotky_SOD2513X120N,1,SBR1A40S3,C460745
SW1,SW_PCM12SMTR,1,PCM12SMTR,C221841
U1,ICM_42668,1,ICM-42688-P,C1850418
U2,MCP73831,1,MCP73831-2ACI_MC,C150772
U3,XCVR_NINA-B306-00B,1,NINA-B306-00B,C6127317
U4,AP2112K-3.3,1,AP2112K-3.3TRG1,C51118
